Gene Name,Centrality,Rank
PMEL,0.539284634927722,547
RP11-45A17.3,0.539721847046578,548
RP11-102N12.3,0.5375765095257001,549
HPX,0.5492053676485653,550
SLC12A8,0.5343893682112532,551
CTB-25B13.5,0.5201883171201679,552
IGKV3-11,0.531479594192346,553
ASS1P2,0.5187242115286426,554
RPL29P12,0.5191820652864978,555
GPRC5D,0.5345148374228915,556
RP11-552M11.4,0.5313104141065655,557
ZP3,0.5194369737844263,558
GOLGA6L3,0.5385028519710606,559
NTAN1P2,0.5135938412632874,560
AMY2A,0.5529140840959158,561
RP11-513M16.8,0.5346343118395696,562
CCDC65,0.5162192259124739,563
BSPRY,0.5605698587576988,564
GOLGA8IP,0.5229874104645363,565
RP4-635A23.4,0.5280370703923691,566
RP11-468H14.2,0.5457806690319118,567
CTD-3162L10.1,0.5347324290982052,568
RP11-488P3.1,0.5324979469040272,569
RP11-410L14.1,0.5199240316658225,570
RASA4DP,0.5406792243690025,571
NPIPB15,0.5276634896393119,572
LOR,0.5678185250646226,573
KRT2,0.5792189435397844,574
KRT17,0.5759651146088494,575
CELA2B,0.5407860840974859,576
TSSC2,0.5249198250006232,577
EFCAB10,0.5098199062405248,578
EP300-AS1,0.531139797500504,579
FAAH2,0.5604934029804676,580
XRRA1,0.5212543141054943,581
ZNF350-AS1,0.5466148737623903,582
IRX1,0.5357169938472796,583
SIK1,0.5373885559522709,584
LRRC37A2,0.5349539728383461,585
IGHM,0.530484921272619,586
RP4-765C7.2,0.5455763152105761,587
SCG3,0.5461997803297911,588
RP11-247I13.11,0.5072694192188849,589
IGHG4,0.5334530599727451,590
CEND1,0.5451949570001515,591
KPRP,0.5490450838014805,592
RP11-678G14.3,0.5559614283947509,593
RP11-739N20.2,0.5404500230053305,594
ZNF295-AS1,0.5274074239595125,595
RP11-488C13.5,0.5437193891984738,596
HAMP,0.5023903091542697,597
TGFA,0.5368929126029227,598
WASH3P,0.5155704737149701,599
CALML3,0.5609408141755455,600
RP5-940J5.6,0.5377479914397305,601
AP000560.3,0.5195653048108742,602
PIWIL2,0.5223974323906339,603
AHRR,0.5257752999704933,604
KRT23,0.5420158041757422,605
CTD-3220F14.1,0.5354681034825725,606
SLC39A5,0.533013786708231,607
CLEC12A,0.5256401419865664,608
KRTDAP,0.5623648771635539,609
SYNDIG1L,0.5453196193413683,610
LINC00339,0.5368271621594525,611
FLG2,0.5441822854399074,612
SPATA1,0.5369557008791119,613
